dataset,stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
p04c_ab_charge,normal_control_pool,shuffled_target_gbt,3819,-0.043576666500659104,0.5250606388347735,0.8689433731944575,0.6569782665619273,0.13747054202670855,0.3430217334380728,"[-0.06387363673072778, -0.013836398450534977]","[0.5135725163339865, 0.5451675213108785]","[0.7671190483791281, 1.0179965571981757]","[0.6384364338892898, 0.6754547742252299]"
p04c_ab_charge,baseline_excursion,traditional_strong,54,-0.04419056320121713,0.5687886145702129,0.6588762333092867,0.7592592592592593,0.16666666666666666,0.24074074074074073,"[-0.25665881789348444, 0.5005769545576806]","[0.4318607433375358, 1.0152055581391854]","[0.460479570118714, 0.8280211202175916]","[0.652984693877551, 0.8431372549019608]"
p04c_ab_charge,baseline_excursion,ridge,54,-0.06315109084116699,0.5556998968789841,0.6342800637856709,0.7592592592592593,0.12962962962962962,0.24074074074074073,"[-0.2671325054144483, 0.4352303993264396]","[0.45038455339216005, 0.8757861476270679]","[0.4386942676236188, 0.800679041356384]","[0.6537790697674418, 0.8373317013463891]"
p04c_ab_charge,baseline_excursion,gradient_boosted_trees,54,-0.018908326036308386,0.5661003387083474,0.6708359158714552,0.7407407407407407,0.09259259259259259,0.25925925925925924,"[-0.2517167015860386, 0.42352592556186264]","[0.4983881752401517, 1.02673984099345]","[0.5056669400836401, 0.8171970366874962]","[0.6162500000000001, 0.8333333333333334]"
p04c_ab_charge,baseline_excursion,mlp,54,-0.21595182220048342,0.9831368779654508,2.11390130377504,0.8518518518518519,0.07407407407407407,0.14814814814814814,"[-0.5060551215240991, 0.4821046763471104]","[0.6466037017596358, 2.2718727599929114]","[1.27814534742414, 2.7277171495036407]","[0.7399782608695652, 0.9333606557377049]"
p04c_ab_charge,baseline_excursion,cnn1d,54,-0.09346683406067846,0.5928133942532487,0.6316923745788218,0.7592592592592593,0.07407407407407407,0.24074074074074073,"[-0.2291780571511383, 0.3810658617280914]","[0.4488152555960898, 0.8217940569817533]","[0.45305275245290494, 0.7669696571749831]","[0.6338482384823848, 0.8393035714285715]"
p04c_ab_charge,baseline_excursion,residual_cnn_meta,54,-0.04620725973349779,0.5799765535398175,0.6408496285541273,0.7407407407407407,0.12962962962962962,0.25925925925925924,"[-0.2589595078312254, 0.4357971526182874]","[0.4775952870034786, 0.9250057639677759]","[0.45205815557511464, 0.8102049181475173]","[0.6341090094574415, 0.8461864406779661]"
p04c_ab_charge,baseline_excursion,shuffled_target_gbt,54,-0.06975779470375497,0.6188969414761062,0.7329279575914291,0.7777777777777778,0.09259259259259259,0.2222222222222222,"[-0.299312310667527, 0.4849201451489899]","[0.43583652884781665, 0.8754273530317954]","[0.5187858949599381, 0.9036753616865121]","[0.6749854651162791, 0.8600686274509803]"
p04c_ab_charge,novel_early_pretrigger,traditional_strong,182,-0.08402488895028218,0.48340759664115546,0.5944921048642815,0.6373626373626373,0.14835164835164835,0.3626373626373626,"[-0.1560519314950643, -0.0034423297665288045]","[0.4571846127581753, 0.5256383751174426]","[0.5018213061177744, 0.6952792885219491]","[0.5808783526865366, 0.7038776085730399]"
p04c_ab_charge,novel_early_pretrigger,ridge,182,-0.005537416537238781,0.4969063648219847,0.6607234722487437,0.6263736263736264,0.15384615384615385,0.37362637362637363,"[-0.08520693810071878, 0.12872817257545696]","[0.4364940005827521, 0.5362164457187177]","[0.528166867972435, 0.8177378393947421]","[0.5659464416727806, 0.7107568967524153]"
p04c_ab_charge,novel_early_pretrigger,gradient_boosted_trees,182,-0.058978143243653636,0.4794766218714273,0.5419947740981104,0.6098901098901099,0.16483516483516483,0.3901098901098901,"[-0.15977145177417135, 0.019554136968642877]","[0.4284703841266197, 0.531198007709623]","[0.4684838242535284, 0.6240317759532412]","[0.539990099009901, 0.6969379667465124]"
