n_bins,run_shrink_strength,deployment_population_weight,fold,sigma68_ns,n_pair_residuals,heldout_run
6,20.0,16.0,2,1.3265804879097103,3531,59
6,20.0,16.0,-1,1.4487715902123277,0,59
6,80.0,0.0,0,1.646168952516164,2799,59
6,80.0,0.0,1,1.0356963992612216,2841,59
6,80.0,0.0,2,1.2108196164667615,3531,59
6,80.0,0.0,-1,1.2975616560813823,0,59
6,80.0,1.0,0,1.6019306154923934,2799,59
6,80.0,1.0,1,1.0100255364388098,2841,59
6,80.0,1.0,2,1.1609556854823986,3531,59
6,80.0,1.0,-1,1.2576372791378672,0,59
6,80.0,4.0,0,1.5265074896307673,2799,59
6,80.0,4.0,1,1.0065448158372141,2841,59
6,80.0,4.0,2,1.129953186106102,3531,59
