cell,negative_rows,positive_rows,matched_pairs
31|0|1|0|0|0|2|2|5|4|1,69,0,0
31|0|1|0|0|0|2|2|5|4|2,41,0,0
31|0|1|0|0|0|2|2|5|4|3,1,0,0
31|0|1|0|0|0|3|2|0|4|1,1,0,0
31|0|1|0|0|0|3|2|0|4|2,3,0,0
31|0|1|0|0|0|3|2|1|4|1,2,0,0
31|0|1|0|0|0|3|2|1|4|2,3,0,0
31|0|1|0|0|0|3|2|2|4|1,1,0,0
31|0|1|0|0|0|3|2|3|4|1,3,0,0
31|0|1|0|0|0|3|2|3|4|2,2,0,0
31|0|1|0|0|0|3|2|4|4|1,2,0,0
31|0|1|0|0|0|3|2|5|4|1,2,0,0
31|0|1|0|0|0|3|2|5|4|2,2,0,0
31|0|1|0|0|0|3|3|0|4|1,9,0,0
31|0|1|0|0|0|3|3|0|4|2,6,0,0
31|0|1|0|0|0|3|3|1|2|5,0,1,0
31|0|1|0|0|0|3|3|1|4|1,4,0,0
31|0|1|0|0|0|3|3|1|4|2,9,0,0
31|0|1|0|0|0|3|3|1|4|5,1,0,0
31|0|1|0|0|0|3|3|2|2|5,0,1,0
31|0|1|0|0|0|3|3|2|4|1,4,0,0
31|0|1|0|0|0|3|3|2|4|2,4,0,0
31|0|1|0|0|0|3|3|3|2|5,0,1,0
31|0|1|0|0|0|3|3|3|3|5,1,0,0
31|0|1|0|0|0|3|3|3|4|1,3,0,0
31|0|1|0|0|0|3|3|3|4|2,6,0,0
31|0|1|0|0|0|3|3|4|2|5,0,1,0
31|0|1|0|0|0|3|3|4|4|1,8,0,0
31|0|1|0|0|0|3|3|4|4|2,20,0,0
31|0|1|0|0|0|3|3|5|2|5,0,1,0
31|0|1|0|0|0|3|3|5|4|1,4,0,0
31|0|1|0|0|0|3|3|5|4|2,3,0,0
31|0|1|0|0|0|4|3|3|4|2,1,0,0
31|0|1|0|0|0|4|3|4|4|3,1,0,0
31|0|1|0|0|0|4|4|0|4|2,1,0,0
31|0|1|0|0|0|4|4|1|3|5,0,1,0
31|0|1|0|0|0|4|4|1|4|5,0,1,0
31|0|1|0|0|0|4|4|3|3|5,0,2,0
31|0|1|0|0|0|4|4|3|4|5,0,1,0
31|0|1|0|0|0|4|4|4|4|5,0,1,0
31|0|1|0|0|0|5|5|0|4|5,0,2,0
31|0|1|0|0|0|5|5|1|4|4,0,1,0
31|0|1|0|0|0|5|5|1|4|5,0,1,0
31|0|1|0|0|0|5|5|2|4|5,0,1,0
31|0|1|0|0|0|5|5|3|4|5,0,2,0
31|0|1|0|1|1|1|1|5|0|5,1,0,0
31|0|1|0|1|1|2|2|0|0|5,1,0,0
31|0|1|0|1|1|2|2|1|0|5,1,0,0
31|0|1|0|1|1|2|2|2|1|5,0,1,0
31|0|1|0|1|1|2|2|2|2|5,0,1,0
