run,window,method,n,res68_abs_frac,bias_median_frac,frac_within10
61,w2_4,gbr_masked,2073,0.14008893474973477,0.04174125692210391,0.4794983116256633
61,w2_4,mlp_masked,2073,0.16139592994987856,0.06552788658288286,0.432223830197781
61,w3_5,observed_ceiling,2073,0.2533134216912451,-0.1928160629603471,0.19536903039073805
61,w3_5,traditional_template,2073,0.8598010625317873,-0.03499178205211659,0.13941148094548964
61,w3_5,gbr_masked,2073,0.1138995229340821,0.031865831938280895,0.6092619392185239
61,w3_5,mlp_masked,2073,0.16089085116783178,0.0692992782088583,0.437530149541727
61,w4_6,observed_ceiling,2073,0.2533134216912451,-0.1928160629603471,0.19536903039073805
61,w4_6,traditional_template,2073,0.36926821535374177,-0.07073992333604368,0.1890979257115292
61,w4_6,gbr_masked,2073,0.09751679605730311,0.03227417124264006,0.6922334780511337
61,w4_6,mlp_masked,2073,0.12999008976652768,0.051183888567606466,0.5248432223830197
61,w5_7,observed_ceiling,2073,0.2533134216912451,-0.1928160629603471,0.19536903039073805
61,w5_7,traditional_template,2073,0.3011286326227649,-0.12688380029387442,0.21177038109020743
61,w5_7,gbr_masked,2073,0.10622385010761312,0.02770039645148936,0.6454413892908828
61,w5_7,mlp_masked,2073,0.12015348346279474,0.01639688112961759,0.5721177038109021
61,w3_7,observed_ceiling,2073,0.2533134216912451,-0.1928160629603471,0.19536903039073805
61,w3_7,traditional_template,2073,0.33998844979787146,-0.08403938630638882,0.2098408104196816
61,w3_7,gbr_masked,2073,0.09475458490741667,0.031956680142864055,0.7144235407621804
61,w3_7,mlp_masked,2073,0.09178529440330005,0.020164157059416047,0.7221418234442837
61,w2_8,observed_ceiling,2073,0.2533134216912451,-0.1928160629603471,0.19536903039073805
61,w2_8,traditional_template,2073,0.24548516777232762,-0.10614525139664804,0.3405692233478051
61,w2_8,gbr_masked,2073,0.07960704658815834,0.02674843790261343,0.7814761215629522
61,w2_8,mlp_masked,2073,0.07880258515019878,-0.0006387342298149752,0.7674867342016402
62,s3,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,s3,traditional_template,2133,11.406768923674854,0.6870475468998348,0.08813877168307548
62,s3,gbr_masked,2133,0.15126986519171573,0.03729232010573478,0.45663384903891235
62,s3,mlp_masked,2133,0.1454098439339678,0.02413683351408123,0.46225972808251287
62,s4,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,s4,traditional_template,2133,1.4990333283739858,-0.07887161773172136,0.1256446319737459
62,s4,gbr_masked,2133,0.14903727012616794,0.04126140421933114,0.45569620253164556
62,s4,mlp_masked,2133,0.14788175223585498,0.03286241004240458,0.45616502578527895
62,s5,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,s5,traditional_template,2133,0.3434442710787436,-0.10873440285204991,0.1683075480543835
62,s5,gbr_masked,2133,0.14546362249145237,0.04092446210824629,0.45897796530707924
62,s5,mlp_masked,2133,0.1457438986959768,0.01803378390896024,0.5255508673230193
62,s6,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,s6,traditional_template,2133,0.25252925294603784,-0.18921658052092835,0.22456633849038912
62,s6,gbr_masked,2133,0.13132848222134186,0.027339728679911062,0.5250820440693859
62,s6,mlp_masked,2133,0.1587715267385768,-0.021788665765808405,0.46882325363338023
62,s7,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,s7,traditional_template,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,s7,gbr_masked,2133,0.1411919863587786,0.03340245985477159,0.48241912798874825
62,s7,mlp_masked,2133,0.14080907661585781,0.0056912766516535335,0.5072667604313174
62,w2_4,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,w2_4,traditional_template,2133,3.2939220079085976,0.09913212876153785,0.11157993436474449
62,w2_4,gbr_masked,2133,0.1476916302503722,0.049954767578900806,0.459915611814346
62,w2_4,mlp_masked,2133,0.14879293082607023,0.037705140399967925,0.45569620253164556
62,w3_5,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,w3_5,traditional_template,2133,1.0330200304091135,0.1851196164985956,0.146741678387248
62,w3_5,gbr_masked,2133,0.11399825229720811,0.03799606295151276,0.614158462259728
