alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run
100.0,1000.0,1,1.2035555209996955,2841,59
100.0,1000.0,2,1.3275937237348467,3531,59
100.0,1000.0,-1,1.5136386803481885,0,59
100.0,10000.0,0,2.100233591001721,2799,59
100.0,10000.0,1,1.2560841659254465,2841,59
100.0,10000.0,2,1.3632468533362507,3531,59
100.0,10000.0,-1,1.5731882034211395,0,59
0.01,1.0,0,2.0711298947618513,2799,60
0.01,1.0,1,1.3388818566046785,2838,60
0.01,1.0,2,1.4970965397290161,3399,60
0.01,1.0,-1,1.6357027636985153,0,60
0.01,10.0,0,2.079777147960633,2799,60
0.01,10.0,1,1.342009924938456,2838,60
0.01,10.0,2,1.496440025020341,3399,60
0.01,10.0,-1,1.6394090326398099,0,60
0.01,100.0,0,2.083231553662791,2799,60
0.01,100.0,1,1.3449742901339452,2838,60
0.01,100.0,2,1.4672457145356592,3399,60
0.01,100.0,-1,1.6318171861107984,0,60
0.01,1000.0,0,2.087297080579303,2799,60
0.01,1000.0,1,1.3414922767820003,2838,60
0.01,1000.0,2,1.4208603408751346,3399,60
0.01,1000.0,-1,1.6165498994121459,0,60
0.01,10000.0,0,2.0897572483532114,2799,60
0.01,10000.0,1,1.3284214284765232,2838,60
0.01,10000.0,2,1.3839623010603639,3399,60
0.01,10000.0,-1,1.6007136592966995,0,60
0.1,1.0,0,2.008265607382401,2799,60
0.1,1.0,1,1.2881670241595893,2838,60
0.1,1.0,2,1.4465800574039545,3399,60
0.1,1.0,-1,1.5810042296486484,0,60
0.1,10.0,0,2.073468661955361,2799,60
0.1,10.0,1,1.3393645846544706,2838,60
0.1,10.0,2,1.4953779833990977,3399,60
0.1,10.0,-1,1.6360704100029764,0,60
0.1,100.0,0,2.080908998127022,2799,60
0.1,100.0,1,1.3435659730693679,2838,60
0.1,100.0,2,1.4729502879578438,3399,60
0.1,100.0,-1,1.6324750863847448,0,60
0.1,1000.0,0,2.087947204429104,2799,60
0.1,1000.0,1,1.3434715096638044,2838,60
0.1,1000.0,2,1.4273183335695034,3399,60
0.1,1000.0,-1,1.6195790158874706,0,60
0.1,10000.0,0,2.091778800864975,2799,60
0.1,10000.0,1,1.3315678408342921,2838,60
0.1,10000.0,2,1.3855524281958242,3399,60
0.1,10000.0,-1,1.602966356631697,0,60
1.0,1.0,0,1.5326919565012362,2799,60
1.0,1.0,1,1.0305755549195088,2838,60
1.0,1.0,2,1.1447360160087334,3399,60
1.0,1.0,-1,1.2360011758098262,0,60
1.0,10.0,0,2.0095818241524954,2799,60
1.0,10.0,1,1.3647488529930376,2838,60
1.0,10.0,2,1.4476613838329837,3399,60
1.0,10.0,-1,1.6073306869928388,0,60
1.0,100.0,0,2.0761291640963604,2799,60
1.0,100.0,1,1.4191456304347856,2838,60
