mode,family,run,method,n_events,sigma68_ns,n_pair_residuals
b2_included,b2_containing,61,traditional,925,2.3102096154518894,2775
b2_included,b2_containing,61,ridge,925,2.6130340451293534,2775
b2_included,b2_containing,61,ridge_shuffled,925,3.294761846696188,2775
b2_included,b2_containing,61,gradient_boosted_trees,925,2.6687315292496225,2775
b2_included,b2_containing,61,gradient_boosted_trees_shuffled,925,3.9820073949565,2775
b2_included,b2_containing,61,mlp,925,3.044247177035201,2775
b2_included,b2_containing,61,mlp_shuffled,925,3.34963717626863,2775
b2_included,b2_containing,61,cnn1d,925,2.015036469386109,2775
b2_included,b2_containing,61,cnn1d_shuffled,925,2.531636680587002,2775
b2_included,b2_containing,61,event_token_attention,925,1.8439530661625767,2775
b2_included,b2_containing,61,event_token_attention_shuffled,925,2.575020542766563,2775
b2_included,downstream_only,61,base,925,2.71151589456774,2775
b2_included,downstream_only,61,traditional,925,2.5151436484752185,2775
b2_included,downstream_only,61,ridge,925,1.9986288315253202,2775
b2_included,downstream_only,61,ridge_shuffled,925,3.168628637413945,2775
b2_included,downstream_only,61,gradient_boosted_trees,925,2.4991629059834777,2775
b2_included,downstream_only,61,gradient_boosted_trees_shuffled,925,4.2536977259507545,2775
b2_included,downstream_only,61,mlp,925,2.2055699457090405,2775
b2_included,downstream_only,61,mlp_shuffled,925,3.6308567474992275,2775
b2_included,downstream_only,61,cnn1d,925,2.2001619989488534,2775
b2_included,downstream_only,61,cnn1d_shuffled,925,2.580839470185932,2775
b2_included,downstream_only,61,event_token_attention,925,1.8503474302978296,2775
b2_included,downstream_only,61,event_token_attention_shuffled,925,2.677791934246801,2775
