sample,pair,stage,amp_bin,run,n,sigma68_ns
sample_II,B2-B4,raw_cfd20,0,58,27,42.754893599301596
sample_II,B2-B4,raw_cfd20,0,59,169,3.0386933526911895
sample_II,B2-B4,raw_cfd20,0,60,126,0.9226377196404805
sample_II,B2-B4,raw_cfd20,0,61,131,1.0458607472489565
sample_II,B2-B4,raw_cfd20,0,62,155,1.3478124047884568
sample_II,B2-B4,raw_cfd20,0,63,121,3.860548525644722
sample_II,B2-B4,raw_cfd20,0,65,33,18.593631693969623
sample_II,B2-B4,raw_cfd20,1,58,20,21.34999948415348
sample_II,B2-B4,raw_cfd20,1,59,297,2.2467537059495095
sample_II,B2-B4,raw_cfd20,1,60,141,0.7595832784859782
sample_II,B2-B4,raw_cfd20,1,61,194,1.046126677228538
sample_II,B2-B4,raw_cfd20,1,62,170,1.430944879434589
sample_II,B2-B4,raw_cfd20,1,63,158,6.714744670418387
sample_II,B2-B4,raw_cfd20,1,65,51,3.136161566717716
sample_II,B2-B4,raw_cfd20,2,58,41,14.830795113803571
sample_II,B2-B4,raw_cfd20,2,59,427,1.8974075853266468
sample_II,B2-B4,raw_cfd20,2,60,163,1.1966229014996603
sample_II,B2-B4,raw_cfd20,2,61,286,1.2253481475817423
sample_II,B2-B4,raw_cfd20,2,62,289,1.2297817367399082
sample_II,B2-B4,raw_cfd20,2,63,229,2.6593680731302705
sample_II,B2-B4,raw_cfd20,2,65,78,2.336884465468686
sample_II,B2-B4,raw_cfd20,3,58,50,15.124580161805484
sample_II,B2-B4,raw_cfd20,3,59,581,1.8925335534029166
sample_II,B2-B4,raw_cfd20,3,60,360,1.156850751609441
sample_II,B2-B4,raw_cfd20,3,61,434,1.0933498424471009
sample_II,B2-B4,raw_cfd20,3,62,476,1.3657039038895604
sample_II,B2-B4,raw_cfd20,3,63,366,2.5492240014602245
sample_II,B2-B4,raw_cfd20,3,65,122,2.4956836841954964
sample_II,B2-B4,raw_cfd20,4,58,91,11.273259629019737
