run,event_index,eventno,evt,group,depth_idx,multiplicity
31,768,392158,5628,sample_i_calib,0,1
31,770,392160,5630,sample_i_calib,0,1
31,771,392161,5631,sample_i_calib,0,1
31,773,392163,5633,sample_i_calib,0,1
31,777,392167,5637,sample_i_calib,0,1
31,778,392168,5638,sample_i_calib,0,1
31,780,392170,5640,sample_i_calib,0,1
31,781,392171,5640,sample_i_calib,0,1
31,782,392172,5641,sample_i_calib,0,1
31,783,392173,5642,sample_i_calib,0,1
31,784,392174,5643,sample_i_calib,2,3
31,785,392175,5644,sample_i_calib,0,1
31,787,392177,5645,sample_i_calib,0,1
31,788,392178,5646,sample_i_calib,0,1
31,789,392179,5647,sample_i_calib,0,1
31,790,392180,5648,sample_i_calib,2,3
31,793,392183,5650,sample_i_calib,0,1
31,797,392187,5654,sample_i_calib,0,1
31,799,392189,5656,sample_i_calib,0,1
31,802,392192,5659,sample_i_calib,0,1
31,804,392194,5660,sample_i_calib,0,1
31,806,392196,5662,sample_i_calib,0,1
31,808,392198,5664,sample_i_calib,0,1
31,811,392201,5667,sample_i_calib,0,1
31,812,392202,5668,sample_i_calib,0,1
31,813,392203,5669,sample_i_calib,0,1
31,814,392204,5670,sample_i_calib,0,1
31,815,392205,5671,sample_i_calib,0,1
31,816,392206,5672,sample_i_calib,0,1
31,819,392209,5675,sample_i_calib,0,1
31,821,392211,5677,sample_i_calib,0,1
31,822,392212,5678,sample_i_calib,0,1
31,825,392215,5681,sample_i_calib,0,1
31,829,392219,5685,sample_i_calib,0,1
31,832,392222,5688,sample_i_calib,0,1
31,833,392223,5689,sample_i_calib,0,1
31,834,392224,5690,sample_i_calib,0,1
31,837,392227,5693,sample_i_calib,0,1
31,840,392230,5696,sample_i_calib,0,1
31,842,392232,5698,sample_i_calib,0,1
31,843,392233,5699,sample_i_calib,0,1
31,845,392235,5700,sample_i_calib,0,1
31,849,392239,5704,sample_i_calib,0,1
31,850,392240,5704,sample_i_calib,0,1
31,852,392242,5706,sample_i_calib,0,1
31,856,392246,5710,sample_i_calib,0,1
31,858,392248,5712,sample_i_calib,0,1
31,860,392250,5713,sample_i_calib,1,2
31,861,392251,5714,sample_i_calib,0,1
31,862,392252,5715,sample_i_calib,0,1
31,863,392253,5716,sample_i_calib,0,1
31,864,392254,5717,sample_i_calib,0,1
31,865,392255,5718,sample_i_calib,0,1
31,867,392257,5720,sample_i_calib,0,1
31,868,392258,5721,sample_i_calib,0,1
31,869,392259,5722,sample_i_calib,0,1
31,870,392260,5723,sample_i_calib,0,1
31,873,392263,5726,sample_i_calib,0,1
31,874,392264,5727,sample_i_calib,0,1
31,877,392267,5730,sample_i_calib,0,1
31,880,392270,5733,sample_i_calib,0,1
31,884,392274,5737,sample_i_calib,0,1
31,887,392277,5739,sample_i_calib,0,1
31,889,392279,5741,sample_i_calib,0,1
31,891,392281,5743,sample_i_calib,0,1
31,895,392285,5746,sample_i_calib,0,1
31,897,392287,5748,sample_i_calib,0,1
31,899,392289,5750,sample_i_calib,0,1
31,900,392290,5751,sample_i_calib,0,1
31,901,392291,5752,sample_i_calib,0,1
31,903,392293,5754,sample_i_calib,0,1
31,906,392296,5756,sample_i_calib,0,1
31,908,392298,5758,sample_i_calib,0,1
31,910,392300,5760,sample_i_calib,0,1
31,911,392301,5761,sample_i_calib,0,1
31,914,392304,5764,sample_i_calib,0,1
31,915,392305,5765,sample_i_calib,0,1
31,917,392307,5767,sample_i_calib,0,1
31,919,392309,5767,sample_i_calib,0,1
31,921,392311,5769,sample_i_calib,0,1
31,923,392313,5771,sample_i_calib,0,1
31,925,392315,5773,sample_i_calib,0,1
31,926,392316,5774,sample_i_calib,0,1
31,928,392318,5776,sample_i_calib,0,1
31,932,392322,5780,sample_i_calib,0,1
31,937,392327,5784,sample_i_calib,0,1
31,940,392330,5787,sample_i_calib,0,1
31,941,392331,5786,sample_i_calib,0,1
31,943,392333,5788,sample_i_calib,0,1
31,947,392337,5791,sample_i_calib,0,1
31,950,392340,5794,sample_i_calib,0,1
31,951,392341,5795,sample_i_calib,0,1
31,953,392343,5797,sample_i_calib,0,1
31,955,392345,5799,sample_i_calib,0,1
31,957,392347,5801,sample_i_calib,0,1
31,958,392348,5802,sample_i_calib,0,1
31,959,392349,5803,sample_i_calib,0,1
31,960,392350,5804,sample_i_calib,0,1
31,961,392351,5805,sample_i_calib,0,1
31,962,392352,5806,sample_i_calib,0,1
31,964,392354,5808,sample_i_calib,0,1
31,965,392355,5809,sample_i_calib,0,1
31,966,392356,5810,sample_i_calib,0,1
31,971,392361,5814,sample_i_calib,0,1
31,972,392362,5815,sample_i_calib,0,1
31,973,392363,5816,sample_i_calib,0,1
31,974,392364,5817,sample_i_calib,0,1
31,975,392365,5818,sample_i_calib,0,1
31,977,392367,5820,sample_i_calib,0,1
31,978,392368,5821,sample_i_calib,0,1
31,979,392369,5822,sample_i_calib,0,1
31,981,392371,5824,sample_i_calib,0,1
31,983,392373,5826,sample_i_calib,1,2
31,984,392374,5827,sample_i_calib,0,1
31,985,392375,5827,sample_i_calib,0,1
31,987,392377,5829,sample_i_calib,0,1
31,988,392378,5830,sample_i_calib,0,1
31,989,392379,5831,sample_i_calib,0,1
31,990,392380,5832,sample_i_calib,0,1
31,992,392382,5834,sample_i_calib,0,1
31,994,392384,5836,sample_i_calib,0,1
31,1000,392390,5842,sample_i_calib,0,1
31,1001,392391,5843,sample_i_calib,0,1
31,1003,392393,5845,sample_i_calib,0,1
31,1004,392394,5846,sample_i_calib,0,1
31,1005,392395,5847,sample_i_calib,0,1
31,1006,392396,5848,sample_i_calib,0,1
31,1010,392400,5852,sample_i_calib,0,1
31,1011,392401,5852,sample_i_calib,0,1
31,1014,392404,5855,sample_i_calib,0,1
31,1016,392406,5856,sample_i_calib,0,1
31,1017,392407,5857,sample_i_calib,0,1
31,1019,392409,5859,sample_i_calib,0,1
31,1020,392410,5860,sample_i_calib,0,1
31,1022,392412,5862,sample_i_calib,0,1
31,1023,392413,5863,sample_i_calib,0,1
