rep,traditional_res68,ml_res68,ml_minus_traditional_res68,traditional_depth_violation_rate,ml_depth_violation_rate
172,0.02055186290412946,0.024478459675855296,0.003926596771725837,0.0,0.0
173,0.02136957203798247,0.02741293797647683,0.006043365938494357,0.0,0.0
174,0.02160219653271191,0.0274455106145721,0.005843314081860191,0.0,0.0
175,0.021904690286674754,0.02812270186502074,0.006218011578345985,0.0,0.0
176,0.02131038543416093,0.02791426460114476,0.0066038791669838295,0.0,0.0
177,0.02062264395206786,0.028110429376526174,0.0074877854244583125,0.0,0.0
178,0.02076325463067737,0.025262443818368407,0.004499189187691037,0.0,0.0
179,0.021071146590933582,0.02590598025688434,0.0048348336659507565,0.0,0.0
180,0.020734991512421256,0.026165621336148814,0.005430629823727558,0.0,0.0
181,0.0205043457453289,0.023329264655358433,0.0028249189100295335,0.0,0.0
182,0.019245039186750686,0.023856633403011588,0.004611594216260902,0.0,0.0
183,0.021962326794690113,0.029541669617722647,0.007579342823032534,0.0,0.0
184,0.019904932587745196,0.024367655696894114,0.004462723109148917,0.0,0.0
