method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,table,candidate,alpha,fold,n_features
,,,2997,,2.0585647571513066,,,,,58,analytic_cv,amp_rise_shape,1.0,0.0,14.0
,,,3534,,1.3755111993428815,,,,,58,analytic_cv,amp_rise_shape,1.0,1.0,14.0
,,,4710,,1.423332898971222,,,,,58,analytic_cv,amp_rise_shape,1.0,2.0,14.0
,,,0,,1.6191362851551367,,,,,58,analytic_cv,amp_rise_shape,1.0,-1.0,14.0
,,,2997,,2.0501519244704083,,,,,58,analytic_cv,amp_rise_shape,10.0,0.0,14.0
,,,3534,,1.3861459411651316,,,,,58,analytic_cv,amp_rise_shape,10.0,1.0,14.0
,,,4710,,1.4433737300290885,,,,,58,analytic_cv,amp_rise_shape,10.0,2.0,14.0
,,,0,,1.6265571985548763,,,,,58,analytic_cv,amp_rise_shape,10.0,-1.0,14.0
,,,2997,,2.0329624740636767,,,,,58,analytic_cv,amp_rise_shape,100.0,0.0,14.0
,,,3534,,1.3488171374342763,,,,,58,analytic_cv,amp_rise_shape,100.0,1.0,14.0
,,,4710,,1.4242318913080747,,,,,58,analytic_cv,amp_rise_shape,100.0,2.0,14.0
,,,0,,1.602003834268676,,,,,58,analytic_cv,amp_rise_shape,100.0,-1.0,14.0
,,,2997,,2.2224835322505387,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.0,0.0,47.0
,,,3534,,1.4782798528530199,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.0,1.0,47.0
,,,4710,,1.544319192472812,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.0,2.0,47.0
,,,0,,1.7483608591921236,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.0,-1.0,47.0
,,,2997,,2.2255974255132034,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.01,0.0,47.0
,,,3534,,1.479419972135286,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.01,1.0,47.0
,,,4710,,1.5613542355568137,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.01,2.0,47.0
,,,0,,1.7554572110684343,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.01,-1.0,47.0
,,,2997,,2.2283920615509536,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.1,0.0,47.0
,,,3534,,1.4763482706343953,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.1,1.0,47.0
,,,4710,,1.5694214963871587,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.1,2.0,47.0
,,,0,,1.7580539428575026,,,,,58,analytic_cv,amp_rise_shape_by_stave,0.1,-1.0,47.0
,,,2997,,2.220819520283992,,,,,58,analytic_cv,amp_rise_shape_by_stave,1.0,0.0,47.0
,,,3534,,1.4407521307380566,,,,,58,analytic_cv,amp_rise_shape_by_stave,1.0,1.0,47.0
,,,4710,,1.5351435711164358,,,,,58,analytic_cv,amp_rise_shape_by_stave,1.0,2.0,47.0
,,,0,,1.732238407379495,,,,,58,analytic_cv,amp_rise_shape_by_stave,1.0,-1.0,47.0
,,,2997,,2.187784830328063,,,,,58,analytic_cv,amp_rise_shape_by_stave,10.0,0.0,47.0
,,,3534,,1.4384078647067535,,,,,58,analytic_cv,amp_rise_shape_by_stave,10.0,1.0,47.0
,,,4710,,1.5162347032883903,,,,,58,analytic_cv,amp_rise_shape_by_stave,10.0,2.0,47.0
,,,0,,1.7141424661077356,,,,,58,analytic_cv,amp_rise_shape_by_stave,10.0,-1.0,47.0
,,,2997,,2.156685960065417,,,,,58,analytic_cv,amp_rise_shape_by_stave,100.0,0.0,47.0
,,,3534,,1.4395567332409176,,,,,58,analytic_cv,amp_rise_shape_by_stave,100.0,1.0,47.0
,,,4710,,1.5228021528304858,,,,,58,analytic_cv,amp_rise_shape_by_stave,100.0,2.0,47.0
,,,0,,1.7063482820456066,,,,,58,analytic_cv,amp_rise_shape_by_stave,100.0,-1.0,47.0
le500,2.0,train,9171,-1.3626598401968195,4.089605454179232,6.87468233252469,0.206411514556755,244.45450328368688,1.546572167831554,59,traditional_scan,,,,
le500,2.0,heldout,2289,-1.2976968803733726,4.421646861182247,6.885219094216158,0.23809523809523808,204.83077655582528,0.7389646865981887,59,traditional_scan,,,,
cfd10,2.0,train,9171,-2.700965367965374,3.2121000511119178,6.820263303248872,0.044924217642568966,275.09187753453557,17.482619529894762,59,traditional_scan,,,,
cfd10,2.0,heldout,2289,-2.7999330183968993,3.3194022537290495,6.679111642333952,0.048055919615552646,221.7735736546127,5.10269585500395,59,traditional_scan,,,,
cfd20,2.0,train,9171,-2.7502338491472393,3.144146509494658,6.302221794873357,0.05528295714753026,298.04370611948445,13.011237883646274,59,traditional_scan,,,,
cfd20,2.0,heldout,2289,-3.037298141121923,3.1903942554003875,5.795444490088401,0.07077326343381389,273.53146208229157,5.9841453726004925,59,traditional_scan,,,,
cfd30,2.0,train,9171,-2.654410527364945,3.236489030073096,6.402832687978782,0.08832188420019627,271.0756666503134,12.546077299740332,59,traditional_scan,,,,
cfd30,2.0,heldout,2289,-2.885697461898566,3.2901011589583096,5.784476638313081,0.1000436871996505,278.81138432656616,5.2987719114725245,59,traditional_scan,,,,
