split,method,run,group,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_5pct,within_10pct
train_B4_B6_B8_holdout_B2,peak_loglinear,61,sample_ii_analysis,11013,-0.9996827914353688,0.9997318373426111,0.9995360217789889,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,62,sample_ii_analysis,11634,-0.9996745321399512,0.999731162559426,0.999527099893552,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,63,sample_ii_analysis,14564,-0.9996892238346557,0.9997525316012053,0.9995888385025349,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,64,sample_ii_calib,11907,-0.9996829422954978,0.9997480816414075,0.999578647798502,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,65,sample_ii_analysis,11768,-0.9996571526502627,0.9997358885226932,0.9995481393340009,0.0,0.0
train_B4_B6_B8_holdout_B2,ml_extra_trees,31,sample_i_calib,26930,-0.011795740404458212,0.026049861399991724,0.0886839488410111,0.7813219457853695,0.8787226141849239
train_B4_B6_B8_holdout_B2,ml_extra_trees,32,sample_i_calib,27302,-0.011381657526473007,0.024584031654952126,0.09235888788000207,0.7854003369716505,0.8808512196908651
train_B4_B6_B8_holdout_B2,ml_extra_trees,33,sample_i_calib,47720,-0.008201841980748956,0.01331640734021197,0.062352974310122274,0.9424140821458508,0.9781852472757754
train_B4_B6_B8_holdout_B2,ml_extra_trees,34,sample_i_calib,33371,-0.011044768000716564,0.017219357176346928,0.06391569525714313,0.8858589793533307,0.95618950585838
train_B4_B6_B8_holdout_B2,ml_extra_trees,35,sample_i_calib,11019,-0.0027322139637529644,0.011035487378670506,0.08512250276185386,0.8830202377711226,0.9288501678918232
train_B4_B6_B8_holdout_B2,ml_extra_trees,36,sample_i_calib,9841,-0.00410151667013783,0.015365911860895512,0.12476531459453687,0.8428005284015853,0.9053957931104563
train_B4_B6_B8_holdout_B2,ml_extra_trees,37,sample_i_calib,22927,-0.004171500131582139,0.01627799963095377,0.11721795622794104,0.8239630130413923,0.892353993108562
train_B4_B6_B8_holdout_B2,ml_extra_trees,39,sample_i_calib,13157,-0.003273095033937366,0.014304477890456526,0.15780977126529996,0.8346887588356008,0.9016493121532264
train_B4_B6_B8_holdout_B2,ml_extra_trees,40,sample_i_calib,13565,-0.002955854936593349,0.012924519466054435,0.1746252197970748,0.8498341319572429,0.9079248064872835
train_B4_B6_B8_holdout_B2,ml_extra_trees,41,sample_i_calib,14949,-0.003456719540674273,0.01431148419462119,0.22890964345463236,0.8353736035855241,0.8979195932838316
train_B4_B6_B8_holdout_B2,ml_extra_trees,42,sample_i_calib,16963,-0.005841074521931512,0.021222948194019438,0.12112349570265739,0.7896598479042622,0.8739020220479868
train_B4_B6_B8_holdout_B2,ml_extra_trees,44,sample_i_analysis,1883,-0.0032486543172268964,0.01445039504957202,0.19103231740234713,0.828996282527881,0.8943175783324482
train_B4_B6_B8_holdout_B2,ml_extra_trees,45,sample_i_analysis,22768,-0.004640734064888302,0.018021376146349476,0.1783139199876931,0.8054725931131412,0.8813685874912157
train_B4_B6_B8_holdout_B2,ml_extra_trees,46,sample_i_analysis,674,-0.004355566590513999,0.012637601351174404,0.06324223577510066,0.8694362017804155,0.9198813056379822
train_B4_B6_B8_holdout_B2,ml_extra_trees,47,sample_i_analysis,5115,-0.005021325652049401,0.014469055999336755,0.09229373371106252,0.8606060606060606,0.9206256109481916
train_B4_B6_B8_holdout_B2,ml_extra_trees,48,sample_i_analysis,13031,-0.002786498007354012,0.012443651563650763,0.10002918969318078,0.852121863249175,0.9102141048269511
train_B4_B6_B8_holdout_B2,ml_extra_trees,49,sample_i_analysis,13759,-0.0027872741812074156,0.01276376813191097,0.10354729632189558,0.8474453085253288,0.9068973035831093
train_B4_B6_B8_holdout_B2,ml_extra_trees,50,sample_i_analysis,34083,-0.01527441050930103,0.032232274560877947,0.08518328259030375,0.7556553120323916,0.8859548748643018
train_B4_B6_B8_holdout_B2,ml_extra_trees,51,sample_i_analysis,14198,-0.013545524747954634,0.028794203755439337,0.1739561808114951,0.7745457106634738,0.8961121284687984
train_B4_B6_B8_holdout_B2,ml_extra_trees,52,sample_i_analysis,6892,-0.013310034871792569,0.028758957118233116,0.10628161798244533,0.7716192687173534,0.8916134648868254
train_B4_B6_B8_holdout_B2,ml_extra_trees,53,sample_i_analysis,31219,-0.010723703241602427,0.017211665005419072,0.07322830271092973,0.88253947916333,0.9534898619430475
train_B4_B6_B8_holdout_B2,ml_extra_trees,54,sample_i_analysis,29492,-0.01079979540822925,0.017309611216373585,0.06640266089394042,0.8850196663501967,0.9544283195442832
train_B4_B6_B8_holdout_B2,ml_extra_trees,55,sample_i_analysis,16730,-0.012843617836019353,0.02508378306256237,0.11432874561194532,0.799163179916318,0.9066945606694561
train_B4_B6_B8_holdout_B2,ml_extra_trees,56,sample_i_analysis,38721,-0.015504498857708729,0.03315376996151398,0.09080298510363337,0.7536220655458279,0.883138348699672
train_B4_B6_B8_holdout_B2,ml_extra_trees,57,sample_i_analysis,12760,-0.002794408697398425,0.0123710195154527,0.17946622773339227,0.8532915360501567,0.9115987460815047
train_B4_B6_B8_holdout_B2,ml_extra_trees,58,sample_ii_analysis,15790,-0.0013511423788126929,0.004510779665485641,0.04570964868577086,0.9612412919569348,0.9763774540848639
train_B4_B6_B8_holdout_B2,ml_extra_trees,59,sample_ii_analysis,13562,-0.0011042582603812225,0.009976400035165901,0.1288036351985161,0.849800914319422,0.9145406282259254
train_B4_B6_B8_holdout_B2,ml_extra_trees,60,sample_ii_analysis,9865,-0.0014777314644308468,0.007099108708573729,0.12806418536979092,0.9035985808413584,0.9609731373542828
train_B4_B6_B8_holdout_B2,ml_extra_trees,61,sample_ii_analysis,11013,-0.0014131880289632438,0.006946797813106501,0.13346520649842467,0.9029328974847907,0.9568691546354309
train_B4_B6_B8_holdout_B2,ml_extra_trees,62,sample_ii_analysis,11634,-0.001203054414428006,0.007046887726703254,0.07425170787466837,0.8884304624376826,0.9428399518652226
train_B4_B6_B8_holdout_B2,ml_extra_trees,63,sample_ii_analysis,14564,-0.001316734693348591,0.007495574514556078,0.08782469816254175,0.8801153529250206,0.930994232353749
train_B4_B6_B8_holdout_B2,ml_extra_trees,64,sample_ii_calib,11907,-0.0011141210597354653,0.006314839390646337,0.059112953538528495,0.9049298731838414,0.9492735365751239
