method,stratum,value,n_events,n_valid,energy_bias,energy_sigma68,saturated_energy_sigma68,saturation_knee_accuracy,saturation_knee_calibration_abs,pedestal_high_minus_low_bias,pid_auc,pid_calibration_ece,timing_residual_bias_ns,timing_residual_sigma68_ns,pileup_merge_rate,false_split_rate,coverage90,coverage90_abs_error
ridge,pedestal_state,shifted,552.0,263.0,0.02754040185884209,0.08853706697500277,0.0408609543811177,0.9891304347826086,0.0036231884057971037,,0.9896441193391963,0.464362258748004,-2.3986008486684973,8.368641128839112,0.30685920577617326,0.2581818181818182,0.8403041825095057,0.05969581749049435
ridge,pileup_bin,clean,430.0,100.0,0.053868503767933965,0.09957136926478063,,0.9953488372093023,0.004651162790697674,-0.0033661757572882936,0.9929906542056075,0.403935483058463,-6.455698619709915,6.602933264773267,,0.23255813953488372,0.71,0.19000000000000006
ridge,pileup_bin,pileup,430.0,293.0,0.014059800843869437,0.07412649594868007,0.03961962102697965,0.9883720930232558,0.002325581395348837,0.013918000048409464,0.9897068284165058,0.5073341880305635,-0.14622051931162616,7.591190393910805,0.3186046511627907,,0.9180887372013652,0.018088737201365168
ridge,clip_bin,hard_clip,2.0,2.0,-0.06253070318190261,0.012141494857363915,0.012141494857363915,1.0,0.0,-0.03571027899224682,,0.020977199153930925,-11.025081365953842,0.20168807029853042,0.0,,1.0,0.09999999999999998
ridge,clip_bin,mild_clip,7.0,7.0,-0.03331688755267286,0.03570197110080669,0.03570197110080669,1.0,0.0,0.04267170189880508,0.6000000000000001,0.25163613966332576,-3.169545485577432,5.953151377307767,0.0,,1.0,0.09999999999999998
ridge,clip_bin,unclipped,851.0,384.0,0.025881721786363273,0.08370589036202127,0.05109852592883662,0.9917743830787309,0.003525264394829612,0.01228224228787678,0.9925978725737471,0.45843297295998353,-1.4942531462349695,7.913778241358382,0.3254156769596199,0.23255813953488372,0.8619791666666666,0.03802083333333339
ridge,morphology_state,late_tail_high,436.0,142.0,0.0221819866820233,0.06877507484055131,0.019213264001495152,0.9908256880733946,0.0045871559633027525,0.011760978070937109,0.9886098130841121,0.44062814582992665,-0.9246354049698002,6.278900219345253,0.4117647058823529,0.1285140562248996,0.9084507042253521,0.008450704225352101
ridge,morphology_state,late_tail_low,424.0,251.0,0.022116643562449936,0.09158546841880061,0.04113780865035478,0.9929245283018868,0.0023584905660377353,0.011845920239155955,0.9942100909842845,0.47106624289253146,-1.8568696728054412,8.327403654508956,0.24691358024691357,0.3756906077348066,0.8406374501992032,0.059362549800796804
ridge,stave,B2,215.0,86.0,-0.01808550609970557,0.09299045447203244,0.02662211725919696,0.986046511627907,0.004651162790697674,0.021650446966814507,0.9887088856161022,0.46564639321865436,-5.990565070262807,9.114330634191857,0.42718446601941745,0.24107142857142858,0.8604651162790697,0.03953488372093028
ridge,stave,B4,233.0,118.0,0.03707536708034828,0.06455663527387445,0.0,0.9914163090128756,0.008583690987124463,0.007560267760292633,1.0,0.44859875307246794,-2.694208475944917,8.667031220103045,0.25203252032520324,0.23636363636363636,0.8813559322033898,0.01864406779661021
ridge,stave,B6,208.0,83.0,0.020756892032321075,0.05701672414995083,0.007336012538881887,0.9951923076923077,0.004807692307692308,0.009936510115666713,,0.43888654682501377,0.2893662589150914,5.257706196419058,0.37962962962962965,0.16,0.9036144578313253,0.0036144578313253017
