heldout_run,consumer,method,variant,train_rows,epochs,target_center,target_scale
62,pid,gradient_boosted_trees,score_residualized,9039.0,,,
62,pid,gradient_boosted_trees,shuffled_score_control,9039.0,,,
62,pid,extra_trees,no_score,9039.0,,,
62,pid,extra_trees,plus_score,9039.0,,,
62,pid,extra_trees,score_residualized,9039.0,,,
62,pid,extra_trees,shuffled_score_control,9039.0,,,
62,energy,traditional,no_score,9039.0,,,
62,energy,traditional,plus_score,9039.0,,,
62,energy,traditional,score_residualized,9039.0,,,
62,energy,traditional,shuffled_score_control,9039.0,,,
62,energy,ridge,no_score,9039.0,,,
62,energy,ridge,plus_score,9039.0,,,
62,energy,ridge,score_residualized,9039.0,,,
62,energy,ridge,shuffled_score_control,9039.0,,,
62,energy,gradient_boosted_trees,no_score,9039.0,,,
62,energy,gradient_boosted_trees,plus_score,9039.0,,,
62,energy,gradient_boosted_trees,score_residualized,9039.0,,,
62,energy,gradient_boosted_trees,shuffled_score_control,9039.0,,,
62,energy,extra_trees,no_score,9039.0,,,
62,energy,extra_trees,plus_score,9039.0,,,
62,energy,extra_trees,score_residualized,9039.0,,,
62,energy,extra_trees,shuffled_score_control,9039.0,,,
63,timing,traditional,no_score,10350.0,,,
63,timing,traditional,plus_score,10350.0,,,
63,timing,traditional,score_residualized,10350.0,,,
63,timing,traditional,shuffled_score_control,10350.0,,,
63,timing,ridge,no_score,10350.0,,,
63,timing,ridge,plus_score,10350.0,,,
63,timing,ridge,score_residualized,10350.0,,,
63,timing,ridge,shuffled_score_control,10350.0,,,
63,timing,gradient_boosted_trees,no_score,10350.0,,,
63,timing,gradient_boosted_trees,plus_score,10350.0,,,
63,timing,gradient_boosted_trees,score_residualized,10350.0,,,
63,timing,gradient_boosted_trees,shuffled_score_control,10350.0,,,
63,timing,extra_trees,no_score,10350.0,,,
63,timing,extra_trees,plus_score,10350.0,,,
63,timing,extra_trees,score_residualized,10350.0,,,
63,timing,extra_trees,shuffled_score_control,10350.0,,,
63,timing,mlp,no_score,10350.0,,,
63,timing,mlp,plus_score,10350.0,,,
63,timing,mlp,score_residualized,10350.0,,,
63,timing,mlp,shuffled_score_control,10350.0,,,
63,timing,cnn1d,no_score,,5.0,1.0491576109212843,3.6444615855872087
63,timing,cnn1d,plus_score,,5.0,1.0491576109212843,3.6444615855872087
63,timing,cnn1d,score_residualized,,5.0,1.0491576109212843,3.6444615855872087
63,timing,cnn1d,shuffled_score_control,,5.0,1.0491576109212843,3.6444615855872087
63,timing,score_gated_cnn,no_score,,5.0,1.0491576109212843,3.6444615855872087
63,timing,score_gated_cnn,plus_score,,5.0,1.0491576109212843,3.6444615855872087
63,timing,score_gated_cnn,score_residualized,,5.0,1.0491576109212843,3.6444615855872087
63,timing,score_gated_cnn,shuffled_score_control,,5.0,1.0491576109212843,3.6444615855872087
63,charge,traditional,no_score,10350.0,,,
63,charge,traditional,plus_score,10350.0,,,
63,charge,traditional,score_residualized,10350.0,,,
63,charge,traditional,shuffled_score_control,10350.0,,,
63,charge,ridge,no_score,10350.0,,,
63,charge,ridge,plus_score,10350.0,,,
63,charge,ridge,score_residualized,10350.0,,,
63,charge,ridge,shuffled_score_control,10350.0,,,
